time,open,high,low,close,EMA Small,EMA Big
2024-07-30T19:00:00Z,65793,65980,65550,65871,66210.05153226141,66516.28674149915
2024-07-30T20:00:00Z,65887,66200,65302,66165,66203.12052729812,66484.35158318105
2024-07-30T21:00:00Z,66164,66296,65937,66295,66217.25583079072,66467.13780289187
2024-07-30T22:00:00Z,66295,66335,66071,66208,66215.83185682292,66443.57982081079
2024-07-30T23:00:00Z,66209,66298,66110,66171,66208.93464808093,66418.79983710071
2024-07-31T00:00:00Z,66170,66391,65875,66341,66229.25239453002,66411.72712463701
2024-07-31T01:00:00Z,66331,66395,66098,66290,66238.59817998693,66400.66102239728
2024-07-31T02:00:00Z,66289,66395,66058,66113,66219.27538306586,66374.51002036117
2024-07-31T03:00:00Z,66113,66217,66018,66061,66194.92532413265,66346.00910941925
2024-07-31T04:00:00Z,66038,66082,65490,65784,66131.70604349686,66294.91737219931
2024-07-31T05:00:00Z,65791,66176,65592,66139,66132.82819065118,66280.74306563575
2024-07-31T06:00:00Z,66139,66521,66100,66443,66180.546930551,66295.4936960325
2024-07-31T07:00:00Z,66442,66509,66182,66194,66182.61663354316,66286.26699639318
2024-07-31T08:00:00Z,66194,66348,66018,66295,66199.90638222883,66287.06090581199
2024-07-31T09:00:00Z,66291,66341,66136,66225,66203.76693880901,66281.41900528362
2024-07-31T10:00:00Z,66224,66230,65924,65956,66165.64894822301,66251.83545934875
2024-07-31T11:00:00Z,65955,66117,65928,66067,66150.47218695794,66235.03223577159
2024-07-31T12:00:00Z,66066,66256,65965,66106,66143.63031204134,66223.30203251963
2024-07-31T13:00:00Z,66129,66814,66104,66487,66196.45641788113,66247.27457501784
2024-07-31T14:00:00Z,66486,66703,65970,66418,66230.54004589941,66262.79506819804
2024-07-31T15:00:00Z,66424,66534,66306,66360,66250.45696191488,66271.63188018004
2024-07-31T16:00:00Z,66360,66718,66279,66346,66265.15589085105,66278.39261834549
2024-07-31T17:00:00Z,66341,66801,66289,66630,66321.28575379704,66310.35692576863
2024-07-31T18:00:00Z,66654,66720,66117,66503,66349.24179167442,66327.86993251694
2024-07-31T19:00:00Z,66510,66621,64934,65243,66179.05074680143,66229.24539319723
2024-07-31T20:00:00Z,65228,65397,64515,64554,65929.0429396012,66076.95035745202
2024-07-31T21:00:00Z,64572,65111,64507,64960,65779.9594104318,65975.40941586548
2024-07-31T22:00:00Z,64960,65027,64625,64966,65654.73488574997,65883.64492351408
2024-07-31T23:00:00Z,64965,64973,64606,64612,65494.31413409613,65768.04083955825
2024-08-01T00:00:00Z,64612,64813,64344,64614,65358.88119038903,65663.12803596204
2024-08-01T01:00:00Z,64602,64787,64105,64194,65179.66869955995,65529.57094178368
2024-08-01T02:00:00Z,64172,64229,63875,64090,65012.02736116611,65398.70085616698
2024-08-01T03:00:00Z,64070,64094,63723,63914,64843.100074832866,65263.72805106089
2024-08-01T04:00:00Z,63902,64013,63408,63700,64667.23852485858,65121.5709555099
2024-08-01T05:00:00Z,63697,64313,63543,64249,64602.8941364188,65042.24632319082
2024-08-01T06:00:00Z,64265,64416,64090,64196,64540.295038508215,64965.31483926438
2024-08-01T07:00:00Z,64199,64452,64199,64302,64503.6342633531,64905.013490240344
2024-08-01T08:00:00Z,64274,64513,64271,64470,64498.45976129878,64865.4668093094
2024-08-01T09:00:00Z,64470,64661,64437,64438,64489.15825956051,64826.60619028127
2024-08-01T10:00:00Z,64438,64567,64295,64549,64498.36468116658,64801.36926389207
2024-08-01T11:00:00Z,64559,64646,64430,64643,64520.61626867941,64786.9720580837
2024-08-01T12:00:00Z,64646,64875,64614,64862,64573.13684272873,64793.792780076095
2024-08-01T13:00:00Z,64861,64917,64438,64703,64593.11579000123,64785.53889097827
2024-08-01T14:00:00Z,64725,64746,63905,63908,64487.71336077027,64705.76262816206
2024-08-01T15:00:00Z,63907,63940,62624,62849,64235.60361295946,64536.966025601876
2024-08-01T16:00:00Z,62849,63142,62625,62860,64023.97228788877,64384.51456872898
2024-08-01T17:00:00Z,62855,63166,62233,63148,63889.207320521266,64272.10415338998
2024-08-01T18:00:00Z,63153,63330,62714,62865,63731.636963517994,64144.185593990886
2024-08-01T19:00:00Z,62861,63399,62847,63389,63678.92358451523,64075.532358173536
2024-08-01T20:00:00Z,63340,64686,63270,64686,63833.858417666735,64131.02941652139
2024-08-01T21:00:00Z,64692,65282,64556,64818,63985.26481494878,64193.48128774672
2024-08-01T22:00:00Z,64830,65568,64808,65141,64163.07022803358,64279.619352497015
2024-08-01T23:00:00Z,65123,65408,64926,65293,64336.905577566875,64371.744865906374
2024-08-02T00:00:00Z,65293,65548,64849,64849,64415.68933486428,64415.13169627852
2024-08-02T01:00:00Z,64848,64848,64511,64622,64447.42943719285,64433.937905707746
2024-08-02T02:00:00Z,64596,64776,63616,64298,64424.440293009335,64421.57991427977
2024-08-02T03:00:00Z,64310,64553,64187,64552,64444.064863315594,64433.43628570888
2024-08-02T04:00:00Z,64546,64584,64377,64466,64447.43949972858,64436.39662337171
2024-08-02T05:00:00Z,64466,64469,64037,64116,64396.44880746264,64407.26965761065
2024-08-02T06:00:00Z,64114,64568,63774,64414,64399.14899092993,64407.88150691877
2024-08-02T07:00:00Z,64414,64467,64084,64131,64357.89530001763,64382.710460835246
2024-08-02T08:00:00Z,64094,64530,63997,64530,64384.37294616877,64396.10041894113
2024-08-02T09:00:00Z,64537,64562,64364,64461,64396.16172368127,64402.00038085558
2024-08-02T10:00:00Z,64461,64812,64326,64709,64444.29068926877,64429.90943714143
2024-08-02T11:00:00Z,64705,64909,64601,64607,64469.32289091973,64446.00857921948
2024-08-02T12:00:00Z,64613,64871,64100,64811,64521.888600009,64479.18961747226
2024-08-02T13:00:00Z,64788,65466,64502,65174,64622.21343077684,64542.35419770205
2024-08-02T14:00:00Z,65183,65319,63045,63075,64384.180595272715,64408.95836154732
2024-08-02T15:00:00Z,63103,63569,62346,63354,64225.69127292307,64313.05305595211
2024-08-02T16:00:00Z,63354,63550,62902,63244,64074.66184631952,64215.866414501914
2024-08-02T17:00:00Z,63246,63397,63003,63036,63914.86771611652,64108.60583136538
2024-08-02T18:00:00Z,63036,63156,62735,62828,63747.65729825244,63992.18711942307
2024-08-02T19:00:00Z,62828,62902,62447,62551,63563.55617544437,63861.170108566424
2024-08-02T20:00:00Z,62560,63126,62000,62534,63405.162917683694,63740.51828051493
2024-08-02T21:00:00Z,62552,62660,61229,61918,63176.368622655435,63574.83480046812
2024-08-02T22:00:00Z,61922,62166,61169,61302,62888.00421916998,63368.21345497102
2024-08-02T23:00:00Z,61302,61699,61240,61421,62662.3112623746,63191.19404997365
2024-08-03T00:00:00Z,61419,61635,60844,61097,62421.494145086195,63000.81277270332
2024-08-03T01:00:00Z,61117,61298,60433,61251,62241.418122765244,62841.73888427574
2024-08-03T02:00:00Z,61255,61512,61139,61369,62107.19995003213,62707.853531159766
2024-08-03T03:00:00Z,61368,61911,61231,61836,62065.47688079642,62628.59411923615
2024-08-03T04:00:00Z,61837,61915,61338,61489,61976.788129904664,62524.99465385105
2024-08-03T05:00:00Z,61495,61650,61454,61633,61923.89764838087,62443.90423077368
2024-08-03T06:00:00Z,61615,61778,61608,61769,61900.067240937664,62382.549300703344
2024-08-03T07:00:00Z,61766,61839,61569,61626,61857.90305002418,62313.7720915485
2024-08-03T08:00:00Z,61607,61687,61438,61565,61812.84104232815,62245.70190140772
2024-08-03T09:00:00Z,61573,61695,61410,61692,61794.25011273921,62195.36536491611
2024-08-03T10:00:00Z,61688,61816,61628,61779,61791.90394154856,62157.51396810556
2024-08-03T11:00:00Z,61777,61950,61731,61881,61805.61102746417,62132.37633464142
2024-08-03T12:00:00Z,61881,62151,61810,61965,61830.1324078543,62117.16030421947
2024-08-03T13:00:00Z,61963,61997,61817,61975,61852.41972972287,62104.23664019952
2024-08-03T14:00:00Z,61981,62127,61862,61956,61868.35515591935,62090.76058199956
2024-08-03T15:00:00Z,61949,62052,60795,60884,61716.91590116253,61981.05507454505
2024-08-03T16:00:00Z,60842,61231,60362,60865,61585.851916368294,61879.595522313684
2024-08-03T17:00:00Z,60873,60969,60414,60525,61422.64392923471,61756.45047483062
2024-08-03T18:00:00Z,60529,60781,60148,60198,61234.23717089091,61614.77315893693
2024-08-03T19:00:00Z,60182,60568,59903,60206,61076.04683690769,61486.70287176084
2024-08-03T20:00:00Z,60206,60677,60134,60353,60964.80886199882,61383.63897432804
2024-08-03T21:00:00Z,60364,60815,59839,60598,60908.37672938361,61312.21724938913
2024-08-03T22:00:00Z,60607,60718,60339,60582,60858.16492486306,61245.833863081025
2024-08-03T23:00:00Z,60585,60787,60352,60672,60829.52416719182,61193.667148255474
2024-08-04T00:00:00Z,60669,60782,60568,60706,60810.52044916231,61149.33377114134
