time,open,high,low,close
2023-01-16T05:00:00Z,21157.09,21223,21128.36,21196.49
2023-01-16T06:00:00Z,21196.31,21262.69,21116.31,21159.64
2023-01-16T07:00:00Z,21158.39,21167.32,21076.09,21120.29
2023-01-16T08:00:00Z,21118.53,21121.22,20670.55,20753.98
2023-01-16T09:00:00Z,20755.09,20849.03,20725.77,20833.42
2023-01-16T10:00:00Z,20831.99,20911.32,20805.99,20854.66
2023-01-16T11:00:00Z,20858.02,20867.38,20788.8,20826.52
2023-01-16T12:00:00Z,20824.95,20874.55,20779.85,20790.64
2023-01-16T13:00:00Z,20793.34,20875.85,20770.32,20829.67
2023-01-16T14:00:00Z,20829.7,20896.79,20754.39,20864.3
2023-01-16T15:00:00Z,20863.76,21061.62,20611.45,20996.28
2023-01-16T16:00:00Z,20993.46,21051.44,20919.17,21000.76
2023-01-16T17:00:00Z,21001.07,21165.15,20985.58,21104.57
2023-01-16T18:00:00Z,21104.57,21292.68,21054.78,21282.86
2023-01-16T19:00:00Z,21281.25,21409.58,21226.2,21309.46
2023-01-16T20:00:00Z,21307.7,21465.62,21216.16,21290.38
2023-01-16T21:00:00Z,21291.19,21292.61,21057.82,21133.03
2023-01-16T22:00:00Z,21134.91,21225.21,21127.91,21188.35
2023-01-16T23:00:00Z,21188.34,21229.64,21100.94,21187.5
2023-01-17T00:00:00Z,21191.46,21300,21066.73,21109.41
2023-01-17T01:00:00Z,21109.53,21149.05,20844.73,21042.07
2023-01-17T02:00:00Z,21043.24,21110.96,20987.85,21104.28
2023-01-17T03:00:00Z,21104.07,21174.05,21062.35,21126.17
2023-01-17T04:00:00Z,21124.82,21237.84,21104.72,21160.08
2023-01-17T05:00:00Z,21160.08,21187.34,21130.4,21150.6
2023-01-17T06:00:00Z,21152.51,21157.42,21065.27,21077.2
2023-01-17T07:00:00Z,21076.1,21177.47,21061.83,21137.38
2023-01-17T08:00:00Z,21135.75,21215.19,21130.82,21202.86
2023-01-17T09:00:00Z,21202.61,21250.85,21145.08,21176.37
2023-01-17T10:00:00Z,21175.22,21182.2,21083.96,21131.51
2023-01-17T11:00:00Z,21129.73,21237.77,21102.78,21220.53
2023-01-17T12:00:00Z,21220.52,21353.6,21192,21254.67
2023-01-17T13:00:00Z,21252.02,21271.88,21178.6,21236
2023-01-17T14:00:00Z,21237.76,21595,21056.43,21281.05
2023-01-17T15:00:00Z,21281.04,21391.17,21033.36,21181.36
2023-01-17T16:00:00Z,21176.18,21250,21080.53,21162.66
2023-01-17T17:00:00Z,21162.66,21249.88,21087.09,21224.6
2023-01-17T18:00:00Z,21225.46,21430.59,21193.09,21368.27
2023-01-17T19:00:00Z,21369.41,21398.42,21289.33,21341.41
2023-01-17T20:00:00Z,21341.41,21402,21267.89,21395.49
2023-01-17T21:00:00Z,21395.51,21411.44,21277.84,21316.27
2023-01-17T22:00:00Z,21316.27,21361.49,21207.77,21234.17
2023-01-17T23:00:00Z,21234.17,21278.29,21127.03,21136.33
2023-01-18T00:00:00Z,21135.01,21245.84,21108.24,21204.83
2023-01-18T01:00:00Z,21204.8,21265.95,21178.43,21246.35
2023-01-18T02:00:00Z,21246.93,21357.32,21151.39,21296.39
2023-01-18T03:00:00Z,21297.47,21378.64,21260.68,21260.68
2023-01-18T04:00:00Z,21260.68,21303.17,21231.16,21283.44
2023-01-18T05:00:00Z,21282.78,21321.3,21255.96,21312.93
2023-01-18T06:00:00Z,21313.79,21318.16,21249.49,21263.05
2023-01-18T07:00:00Z,21263.04,21312.76,21247.61,21310.27
2023-01-18T08:00:00Z,21310.9,21319.96,21211.1,21251.55
2023-01-18T09:00:00Z,21252.09,21286.59,21165.81,21233.48
2023-01-18T10:00:00Z,21230.86,21260.61,21165.42,21184.27
2023-01-18T11:00:00Z,21185.08,21238.38,21172.96,21203.42
